Reader,VTID,Formulation,Lot,DetectionKit,SlideID,SignalIntensity,Background
1,VT23036330-B,WIS pilot,230809-2VAL,1,Reference,2.75,0.25
1,VT23036330-B,N/A,NRC,1,NRC,0,0.25
1,VT23036330-B,WIS light,230807VAL,1,Dolphins,2.5,0.25
1,VT23036330-B,WIS chosen,230807VAL,1,Ravens,2.75,0.25
1,VT23036330-B,WIS chosen,230809-1VAL,1,Broncos,2.5,0.25
1,VT23036330-B,WIS dark,230809-1VAL,1,Chargers,2.75,0.25
1,VT23036330-B,OOS light,230809-2VAL,1,Eagles,0,0
1,VT23036330-B,WIS light,230809-2VAL,1,Commanders,2.5,0.25
1,VT23036330-B,WIS dark,230809-2VAL,1,Falcons,2.75,0.25
1,VT23036330-B,WIS light,230807VAL,2,Buccaneers,2.5,0.25
1,VT23036330-B,WIS chosen,230807VAL,2,49ers,2.75,0.25
1,VT23036330-B,WIS light,230809-1VAL,2,White Sox,2.75,0.25
1,VT23036330-B,WIS chosen,230809-1VAL,2,Royals,2.75,0.25
1,VT23036330-B,WIS dark,230809-1VAL,2,Angels,2.75,0.25
1,VT23036330-B,WIS chosen,230809-2VAL,2,Marlins,2.75,0.25
1,VT23036330-B,WIS dark,230809-2VAL,2,Nationals,2.75,0.25
1,VT23036330-B,WIS light,230807VAL,3,Brewers,2.75,0.25
1,VT23036330-B,WIS dark,230807VAL,3,Celtics,2.75,0.25
1,VT23036330-B,WIS light,230809-1VAL,3,Raptors,2.75,0.25
1,VT23036330-B,WIS chosen,230809-1VAL,3,Mavericks,2.75,0.25
1,VT23036330-B,WIS light,230809-2VAL,3,Jazz,2.75,0.25
1,VT23036330-B,WIS chosen,230809-2VAL,3,Heat,2.75,0.25
1,VT23036330-B,WIS dark,230809-2VAL,3,Hawks,2.75,0.25
1,VT23036332-B,WIS pilot,230809-2VAL,1,Reference,2.75,0.25
1,VT23036332-B,N/A,NRC,2,NRC,0,0
1,VT23036332-B,WIS light,230807VAL,1,Patriots,2.75,0.25
1,VT23036332-B,WIS chosen,230807VAL,1,Bengals,2.75,0.25
1,VT23036332-B,WIS light,230809-1VAL,1,Colts,1.75,0
1,VT23036332-B,WIS chosen,230809-1VAL,1,Chiefs,2.75,0.25
1,VT23036332-B,WIS dark,230809-1VAL,1,Cowboys,2.75,0.25
1,VT23036332-B,WIS chosen,230809-2VAL,1,Lions,2.75,0.25
1,VT23036332-B,WIS dark,230809-2VAL,1,Panthers,2.75,0.25
1,VT23036332-B,WIS light,230807VAL,2,Cardinals,2.5,0.25
1,VT23036332-B,WIS dark,230807VAL,2,Red Sox,2.75,0.25
1,VT23036332-B,WIS light,230809-1VAL,2,Guardians,2.75,0.25
1,VT23036332-B,WIS chosen,230809-1VAL,2,Twins,2.75,0.25
1,VT23036332-B,WIS light,230809-2VAL,2,Mariners,2.5,0.25
1,VT23036332-B,WIS chosen,230809-2VAL,2,Mets,2.5,0.25
1,VT23036332-B,WIS dark,230809-2VAL,2,Cubs,2.5,0.25
1,VT23036332-B,WIS chosen,230807VAL,3,Rockies,2.75,0.25
1,VT23036332-B,WIS dark,230807VAL,3,Nets,2.75,0.5
1,VT23036332-B,WIS light,230809-1VAL,3,76ers,2.75,0.25
1,VT23036332-B,WIS dark,230809-1VAL,3,Kings,2.75,0.25
1,VT23036332-B,OOS light,230809-2VAL,3,Warriors,0,0
1,VT23036332-B,WIS light,230809-2VAL,3,Trail Blazers,2.75,0.25
1,VT23036332-B,WIS chosen,230809-2VAL,3,Thunder,2.75,0.25
1,VT23036334-A,WIS pilot,230809-2VAL,2,Reference,3,0.25
1,VT23036334-A,N/A,NRC,2,NRC,0,0
1,VT23036334-A,OOS light,230807VAL,1,Bills,0,0
1,VT23036334-A,WIS light,230807VAL,1,Jets,2.75,0.25
1,VT23036334-A,WIS dark,230807VAL,1,Steelers,3,0.25
1,VT23036334-A,WIS light,230809-1VAL,1,Jaguars,3,0.25
1,VT23036334-A,WIS chosen,230809-1VAL,1,Raiders,3,0.25
1,VT23036334-A,WIS chosen,230809-2VAL,1,Packers,3,0.25
1,VT23036334-A,WIS dark,230809-2VAL,1,Saints,3,0.25
1,VT23036334-A,WIS chosen,230807VAL,2,Seahawks,3,0.25
1,VT23036334-A,WIS dark,230807VAL,2,Yankees,3,0.25
1,VT23036334-A,WIS light,230809-1VAL,2,Tigers,2.75,0.25
1,VT23036334-A,WIS dark,230809-1VAL,2,Athletics,3,0.25
1,VT23036334-A,WIS light,230809-2VAL,2,Rangers,2.75,0.25
1,VT23036334-A,WIS chosen,230809-2VAL,2,Phillies,3,0.25
1,VT23036334-A,WIS light,230807VAL,3,Pirates,3,0.25
1,VT23036334-A,WIS chosen,230807VAL,3,Dodgers,3,0.25
1,VT23036334-A,WIS dark,230807VAL,3,Knicks,3,0.25
1,VT23036334-A,WIS chosen,230809-1VAL,3,Rockets,3,0.25
1,VT23036334-A,WIS dark,230809-1VAL,3,Lakers,3,0.25
1,VT23036334-A,WIS light,230809-2VAL,3,Nuggets,3,0.25
1,VT23036334-A,WIS dark,230809-2VAL,3,Bucks,3,0.25
1,VT23036335-A,WIS pilot,230809-2VAL,3,Reference,2.5,0.25
1,VT23036335-A,N/A,NRC,3,NRC,0,0
1,VT23036335-A,WIS chosen,230807VAL,1,Browns,2.5,0.25
1,VT23036335-A,WIS dark,230807VAL,1,Texans,2.5,0.25
1,VT23036335-A,WIS light,230809-1VAL,1,Titans,2.25,0.25
1,VT23036335-A,WIS dark,230809-1VAL,1,Giants,2.5,0.25
1,VT23036335-A,WIS light,230809-2VAL,1,Bears,2.25,0.25
1,VT23036335-A,WIS chosen,230809-2VAL,1,Viking,2.5,0.25
1,VT23036335-A,WIS light,230807VAL,2,Rams,2.25,0.25
1,VT23036335-A,WIS chosen,230807VAL,2,Orioles,2.25,0.25
1,VT23036335-A,WIS dark,230807VAL,2,Rays,2.25,0.25
1,VT23036335-A,OOS light,230809-1VAL,2,Blue Jays,0,0.25
1,VT23036335-A,WIS chosen,230809-1VAL,2,Astros,2.25,0.25
1,VT23036335-A,WIS light,230809-2VAL,2,Braves,2,0.25
1,VT23036335-A,WIS dark,230809-2VAL,2,Reds,2,0.25
1,VT23036335-A,WIS light,230807VAL,3,Diamondbacks,2.25,0.25
1,VT23036335-A,WIS chosen,230807VAL,3,Padres,2.5,0.25
1,VT23036335-A,WIS light,230809-1VAL,3,Bulls,2.25,0.25
1,VT23036335-A,WIS chosen,230809-1VAL,3,Suns,2.5,0.25
1,VT23036335-A,WIS dark,230809-1VAL,3,Clippers,2.5,0.25
1,VT23036335-A,WIS chosen,230809-2VAL,3,Wizards,2.5,0.25
1,VT23036335-A,WIS dark,230809-2VAL,3,Cavaliers,2.25,0.25
2,VT23036330-B,WIS pilot,230809-2VAL,1,Reference,2.75,0
2,VT23036330-B,N/A,NRC,1,NRC,0,0
2,VT23036330-B,WIS light,230807VAL,1,Dolphins,2.5,0
2,VT23036330-B,WIS chosen,230807VAL,1,Ravens,2.75,0
2,VT23036330-B,WIS chosen,230809-1VAL,1,Broncos,2.5,0
2,VT23036330-B,WIS dark,230809-1VAL,1,Chargers,2.75,0
2,VT23036330-B,OOS light,230809-2VAL,1,Eagles,0,0
2,VT23036330-B,WIS light,230809-2VAL,1,Commanders,2.5,0
2,VT23036330-B,WIS dark,230809-2VAL,1,Falcons,2.75,0
2,VT23036330-B,WIS light,230807VAL,2,Buccaneers,2.75,0
2,VT23036330-B,WIS chosen,230807VAL,2,49ers,2.75,0
2,VT23036330-B,WIS light,230809-1VAL,2,White Sox,2.75,0
2,VT23036330-B,WIS chosen,230809-1VAL,2,Royals,2.75,0
2,VT23036330-B,WIS dark,230809-1VAL,2,Angels,2.75,0
2,VT23036330-B,WIS chosen,230809-2VAL,2,Marlins,2.75,0
2,VT23036330-B,WIS dark,230809-2VAL,2,Nationals,2.5,0
2,VT23036330-B,WIS light,230807VAL,3,Brewers,2.75,0
2,VT23036330-B,WIS dark,230807VAL,3,Celtics,2.75,0
2,VT23036330-B,WIS light,230809-1VAL,3,Raptors,2.75,0
2,VT23036330-B,WIS chosen,230809-1VAL,3,Mavericks,2.75,0
2,VT23036330-B,WIS light,230809-2VAL,3,Jazz,2.75,0
2,VT23036330-B,WIS chosen,230809-2VAL,3,Heat,2.75,0
2,VT23036330-B,WIS dark,230809-2VAL,3,Hawks,2.75,0
2,VT23036332-B,WIS pilot,230809-2VAL,1,Reference,2.75,0
2,VT23036332-B,N/A,NRC,2,NRC,0,0
2,VT23036332-B,WIS light,230807VAL,1,Patriots,2.75,0
2,VT23036332-B,WIS chosen,230807VAL,1,Bengals,2.75,0
2,VT23036332-B,WIS light,230809-1VAL,1,Colts,0.75,0
2,VT23036332-B,WIS chosen,230809-1VAL,1,Chiefs,2.75,0
2,VT23036332-B,WIS dark,230809-1VAL,1,Cowboys,2.75,0
2,VT23036332-B,WIS chosen,230809-2VAL,1,Lions,2.75,0
2,VT23036332-B,WIS dark,230809-2VAL,1,Panthers,2.75,0
2,VT23036332-B,WIS light,230807VAL,2,Cardinals,2.5,0
2,VT23036332-B,WIS dark,230807VAL,2,Red Sox,2.75,0
2,VT23036332-B,WIS light,230809-1VAL,2,Guardians,2.75,0
2,VT23036332-B,WIS chosen,230809-1VAL,2,Twins,2.75,0
2,VT23036332-B,WIS light,230809-2VAL,2,Mariners,2.5,0
2,VT23036332-B,WIS chosen,230809-2VAL,2,Mets,2.75,0
2,VT23036332-B,WIS dark,230809-2VAL,2,Cubs,2.5,0
2,VT23036332-B,WIS chosen,230807VAL,3,Rockies,2.75,0
2,VT23036332-B,WIS dark,230807VAL,3,Nets,2.75,0
2,VT23036332-B,WIS light,230809-1VAL,3,76ers,2.75,0
2,VT23036332-B,WIS dark,230809-1VAL,3,Kings,2.75,0
2,VT23036332-B,OOS light,230809-2VAL,3,Warriors,0,0
2,VT23036332-B,WIS light,230809-2VAL,3,Trail Blazers,2.75,0
2,VT23036332-B,WIS chosen,230809-2VAL,3,Thunder,2.75,0
2,VT23036334-A,WIS pilot,230809-2VAL,2,Reference,2.75,0
2,VT23036334-A,N/A,NRC,2,NRC,0,0
2,VT23036334-A,OOS light,230807VAL,1,Bills,0,0
2,VT23036334-A,WIS light,230807VAL,1,Jets,2.75,0
2,VT23036334-A,WIS dark,230807VAL,1,Steelers,3,0
2,VT23036334-A,WIS light,230809-1VAL,1,Jaguars,2.75,0
2,VT23036334-A,WIS chosen,230809-1VAL,1,Raiders,3,0
2,VT23036334-A,WIS chosen,230809-2VAL,1,Packers,2.75,0
2,VT23036334-A,WIS dark,230809-2VAL,1,Saints,3,0
2,VT23036334-A,WIS chosen,230807VAL,2,Seahawks,2.75,0
2,VT23036334-A,WIS dark,230807VAL,2,Yankees,3,0
2,VT23036334-A,WIS light,230809-1VAL,2,Tigers,2.75,0
2,VT23036334-A,WIS dark,230809-1VAL,2,Athletics,2.75,0
2,VT23036334-A,WIS light,230809-2VAL,2,Rangers,2.5,0
2,VT23036334-A,WIS chosen,230809-2VAL,2,Phillies,2.75,0
2,VT23036334-A,WIS light,230807VAL,3,Pirates,2.75,0
2,VT23036334-A,WIS chosen,230807VAL,3,Dodgers,3,0
2,VT23036334-A,WIS dark,230807VAL,3,Knicks,3,0
2,VT23036334-A,WIS chosen,230809-1VAL,3,Rockets,3,0
2,VT23036334-A,WIS dark,230809-1VAL,3,Lakers,3,0
2,VT23036334-A,WIS light,230809-2VAL,3,Nuggets,2.75,0
2,VT23036334-A,WIS dark,230809-2VAL,3,Bucks,3,0
2,VT23036335-A,WIS pilot,230809-2VAL,3,Reference,2.5,0
2,VT23036335-A,N/A,NRC,3,NRC,0,0
2,VT23036335-A,WIS chosen,230807VAL,1,Browns,2.5,0
2,VT23036335-A,WIS dark,230807VAL,1,Texans,2.5,0
2,VT23036335-A,WIS light,230809-1VAL,1,Titans,2.25,0
2,VT23036335-A,WIS dark,230809-1VAL,1,Giants,2.5,0
2,VT23036335-A,WIS light,230809-2VAL,1,Bears,2.25,0
2,VT23036335-A,WIS chosen,230809-2VAL,1,Viking,2.5,0
2,VT23036335-A,WIS light,230807VAL,2,Rams,2.25,0
2,VT23036335-A,WIS chosen,230807VAL,2,Orioles,2.25,0
2,VT23036335-A,WIS dark,230807VAL,2,Rays,2.5,0
2,VT23036335-A,OOS light,230809-1VAL,2,Blue Jays,0,0
2,VT23036335-A,WIS chosen,230809-1VAL,2,Astros,2.5,0
2,VT23036335-A,WIS light,230809-2VAL,2,Braves,2,0
2,VT23036335-A,WIS dark,230809-2VAL,2,Reds,2.25,0
2,VT23036335-A,WIS light,230807VAL,3,Diamondbacks,2.5,0
2,VT23036335-A,WIS chosen,230807VAL,3,Padres,2.5,0
2,VT23036335-A,WIS light,230809-1VAL,3,Bulls,2.5,0
2,VT23036335-A,WIS chosen,230809-1VAL,3,Suns,2.5,0
2,VT23036335-A,WIS dark,230809-1VAL,3,Clippers,2.5,0
2,VT23036335-A,WIS chosen,230809-2VAL,3,Wizards,2.5,0
2,VT23036335-A,WIS dark,230809-2VAL,3,Cavaliers,2.5,0
3,VT23036330-B,WIS pilot,230809-2VAL,1,Reference,2.75,0
3,VT23036330-B,N/A,NRC,1,NRC,0,0
3,VT23036330-B,WIS light,230807VAL,1,Dolphins,2.5,0
3,VT23036330-B,WIS chosen,230807VAL,1,Ravens,2.75,0
3,VT23036330-B,WIS chosen,230809-1VAL,1,Broncos,2.5,0
3,VT23036330-B,WIS dark,230809-1VAL,1,Chargers,2.75,0
3,VT23036330-B,OOS light,230809-2VAL,1,Eagles,0,0
3,VT23036330-B,WIS light,230809-2VAL,1,Commanders,2.25,0
3,VT23036330-B,WIS dark,230809-2VAL,1,Falcons,2.5,0
3,VT23036330-B,WIS light,230807VAL,2,Buccaneers,2.25,0
3,VT23036330-B,WIS chosen,230807VAL,2,49ers,2.5,0
3,VT23036330-B,WIS light,230809-1VAL,2,White Sox,2.5,0
3,VT23036330-B,WIS chosen,230809-1VAL,2,Royals,2.5,0
3,VT23036330-B,WIS dark,230809-1VAL,2,Angels,2.25,0
3,VT23036330-B,WIS chosen,230809-2VAL,2,Marlins,2,0
3,VT23036330-B,WIS dark,230809-2VAL,2,Nationals,2,0
3,VT23036330-B,WIS light,230807VAL,3,Brewers,2.5,0
3,VT23036330-B,WIS dark,230807VAL,3,Celtics,3,0
3,VT23036330-B,WIS light,230809-1VAL,3,Raptors,2.75,0
3,VT23036330-B,WIS chosen,230809-1VAL,3,Mavericks,2.75,0
3,VT23036330-B,WIS light,230809-2VAL,3,Jazz,2.5,0
3,VT23036330-B,WIS chosen,230809-2VAL,3,Heat,2.5,0
3,VT23036330-B,WIS dark,230809-2VAL,3,Hawks,2.5,0
3,VT23036332-B,WIS pilot,230809-2VAL,1,Reference,2.5,0
3,VT23036332-B,N/A,NRC,2,NRC,0,0
3,VT23036332-B,WIS light,230807VAL,1,Patriots,2.75,0
3,VT23036332-B,WIS chosen,230807VAL,1,Bengals,2.5,0
3,VT23036332-B,WIS light,230809-1VAL,1,Colts,1,0
3,VT23036332-B,WIS chosen,230809-1VAL,1,Chiefs,2.5,0
3,VT23036332-B,WIS dark,230809-1VAL,1,Cowboys,2.5,0
3,VT23036332-B,WIS chosen,230809-2VAL,1,Lions,2.5,0
3,VT23036332-B,WIS dark,230809-2VAL,1,Panthers,2.25,0
3,VT23036332-B,WIS light,230807VAL,2,Cardinals,2.25,0
3,VT23036332-B,WIS dark,230807VAL,2,Red Sox,2.25,0
3,VT23036332-B,WIS light,230809-1VAL,2,Guardians,2.25,0
3,VT23036332-B,WIS chosen,230809-1VAL,2,Twins,2.5,0
3,VT23036332-B,WIS light,230809-2VAL,2,Mariners,2.25,0
3,VT23036332-B,WIS chosen,230809-2VAL,2,Mets,2.25,0
3,VT23036332-B,WIS dark,230809-2VAL,2,Cubs,2.25,0
3,VT23036332-B,WIS chosen,230807VAL,3,Rockies,2.5,0
3,VT23036332-B,WIS dark,230807VAL,3,Nets,2.5,0
3,VT23036332-B,WIS light,230809-1VAL,3,76ers,2.25,0
3,VT23036332-B,WIS dark,230809-1VAL,3,Kings,2.5,0
3,VT23036332-B,OOS light,230809-2VAL,3,Warriors,0,0
3,VT23036332-B,WIS light,230809-2VAL,3,Trail Blazers,2.75,0
3,VT23036332-B,WIS chosen,230809-2VAL,3,Thunder,2.5,0
3,VT23036334-A,WIS pilot,230809-2VAL,2,Reference,2.75,0
3,VT23036334-A,N/A,NRC,2,NRC,0,0
3,VT23036334-A,OOS light,230807VAL,1,Bills,0,0
3,VT23036334-A,WIS light,230807VAL,1,Jets,2.75,0
3,VT23036334-A,WIS dark,230807VAL,1,Steelers,2.5,0
3,VT23036334-A,WIS light,230809-1VAL,1,Jaguars,2.75,0
3,VT23036334-A,WIS chosen,230809-1VAL,1,Raiders,2.5,0
3,VT23036334-A,WIS chosen,230809-2VAL,1,Packers,2.5,0
3,VT23036334-A,WIS dark,230809-2VAL,1,Saints,2.75,0
3,VT23036334-A,WIS chosen,230807VAL,2,Seahawks,2.5,0
3,VT23036334-A,WIS dark,230807VAL,2,Yankees,2.75,0
3,VT23036334-A,WIS light,230809-1VAL,2,Tigers,2.5,0
3,VT23036334-A,WIS dark,230809-1VAL,2,Athletics,2.5,0
3,VT23036334-A,WIS light,230809-2VAL,2,Rangers,2.25,0
3,VT23036334-A,WIS chosen,230809-2VAL,2,Phillies,2.5,0
3,VT23036334-A,WIS light,230807VAL,3,Pirates,2.5,0
3,VT23036334-A,WIS chosen,230807VAL,3,Dodgers,2.75,0
3,VT23036334-A,WIS dark,230807VAL,3,Knicks,2.75,0
3,VT23036334-A,WIS chosen,230809-1VAL,3,Rockets,2.75,0
3,VT23036334-A,WIS dark,230809-1VAL,3,Lakers,2.75,0
3,VT23036334-A,WIS light,230809-2VAL,3,Nuggets,0,0
3,VT23036334-A,WIS dark,230809-2VAL,3,Bucks,2.5,0
3,VT23036335-A,WIS pilot,230809-2VAL,3,Reference,2.5,0
3,VT23036335-A,N/A,NRC,3,NRC,0,0
3,VT23036335-A,WIS chosen,230807VAL,1,Browns,2.5,0
3,VT23036335-A,WIS dark,230807VAL,1,Texans,2,0
3,VT23036335-A,WIS light,230809-1VAL,1,Titans,1.75,0
3,VT23036335-A,WIS dark,230809-1VAL,1,Giants,2,0
3,VT23036335-A,WIS light,230809-2VAL,1,Bears,2,0
3,VT23036335-A,WIS chosen,230809-2VAL,1,Viking,2.25,0
3,VT23036335-A,WIS light,230807VAL,2,Rams,1.75,0
3,VT23036335-A,WIS chosen,230807VAL,2,Orioles,2.25,0
3,VT23036335-A,WIS dark,230807VAL,2,Rays,2,0
3,VT23036335-A,OOS light,230809-1VAL,2,Blue Jays,0,0
3,VT23036335-A,WIS chosen,230809-1VAL,2,Astros,2.25,0
3,VT23036335-A,WIS light,230809-2VAL,2,Braves,1.5,0
3,VT23036335-A,WIS dark,230809-2VAL,2,Reds,1.75,0
3,VT23036335-A,WIS light,230807VAL,3,Diamondbacks,2,0
3,VT23036335-A,WIS chosen,230807VAL,3,Padres,2.5,0
3,VT23036335-A,WIS light,230809-1VAL,3,Bulls,2.25,0
3,VT23036335-A,WIS chosen,230809-1VAL,3,Suns,2.5,0
3,VT23036335-A,WIS dark,230809-1VAL,3,Clippers,2.5,0
3,VT23036335-A,WIS chosen,230809-2VAL,3,Wizards,2.25,0
3,VT23036335-A,WIS dark,230809-2VAL,3,Cavaliers,2.25,0
